Unit 2-2,zoo,動物園
Unit 2-2,bird,鳥
Unit 2-2,tiger,トラ
Unit 2-2,lion,ライオン
Unit 2-2,bear,クマ
Unit 2-2,zebra,シマウマ
Unit 2-2,giraffe,キリン
Unit 2-2,elephant,ゾウ
Unit 3-1,from,…から、…出身の、…に由来する
Unit 3-1,around,…の近くに
Unit 3-1,how,どのようにして、どんなふうに
Unit 3-1,what,何、どんなもの[こと]
Unit 3-1,who,だれ、だれが
Unit 3-1,why,なぜ、どうして
Unit 3-1,when,いつ、どんなときに
Unit 3-1,where,どこに[で、へ]
Unit 3-1,room,部屋
Unit 3-1,house,家、住宅
Unit 3-1,hotel,ホテル、旅館
Unit 3-1,museum,博物館、美術館
Unit 3-1,name,名前
Unit 3-1,boy,男の子、少年
Unit 3-1,girl,女の子、少女
Unit 3-1,family,一族
Unit 3-1,hard,熱心に、一生懸命に
Unit 3-1,active,活動的な
Unit 3-1,kind,親切な、やさしい
Unit 3-1,brave,勇かんな、勇ましい
Unit 3-1,smart,りこうな、頭のいい、抜け目のない
Unit 3-1,quiet,静かな
Unit 3-1,favorite,いちばん好きな、お気に入りの
Unit 3-1,interesting,おもしろい、興味深い
Unit 3-1,date,日、日付
Unit 3-1,month,(暦の上での)月、1か月
Unit 3-1,January,1月
Unit 3-1,February,2月
Unit 3-1,March,3月
Unit 3-1,April,4月
Unit 3-1,May,5月
Unit 3-1,June,6月
Unit 3-1,week,週、1週間
Unit 3-1,Monday,月曜日
Unit 3-1,Tuesday,火曜日
Unit 3-1,Wednesday,水曜日
Unit 3-1,Thursday,木曜日
Unit 3-1,Friday,金曜日
Unit 3-1,Saturday,土曜日
Unit 3-1,Sunday,日曜日
Unit 3-2,star,星
Unit 3-2,water,水
Unit 3-2,flower,花
Unit 3-2,bike,自転車
Unit 3-2,bus,バス
Unit 3-2,taxi,タクシー
Unit 3-2,car,車、自動車
Unit 3-2,train,列車、電車
Unit 3-2,town,町
Unit 3-2,city,市、都市、都会
Unit 3-2,hallway,ろうか
Unit 3-2,restroom,手洗い、トイレ
Unit 3-2,entrance,玄関、入口
Unit 3-2,park,公園、遊園地
Unit 3-2,bookstore,書店
Unit 3-2,police station,警察署
Unit 3-2,go,行く
Unit 3-2,come,来る、行く、めぐってくる
Unit 3-2,live,住む、住んでいる、生きる
Unit 3-2,walk,(…を)歩く、歩いていく[くる]
Unit 3-2,bake,(パンなど)を焼く
Unit 3-2,study,勉強する、研究する
Unit 3-2,enjoy,…を楽しむ
Unit 3-2,practice,(…を)練習する
Unit 3-2,game,試合、競技
Unit 3-2,party,パーティー
Unit 3-2,festival,祭り、催し物
Unit 3-2,spring,春
Unit 3-2,summer,夏
Unit 3-2,fall,秋
Unit 3-2,winter,冬
Unit 3-2,season,季節
Unit 3-2,July,7月
Unit 3-2,August,8月
Unit 3-2,September,9月
Unit 3-2,October,10月
Unit 3-2,November,11月
Unit 3-2,December,12月
Unit 3-2,Halloween,ハロウィーン
Unit 3-2,Christmas,クリスマス
Unit 4-1,frog,カエル
Unit 4-1,spider,クモ
Unit 4-1,puppy,子イヌ
Unit 4-1,sheep,ヒツジ
Unit 4-1,camel,ラクダ
Unit 4-1,panda,(ジャイアント)パンダ
Unit 4-1,pet,ペット、愛がん動物
Unit 4-1,animal,動物
Unit 4-1,a.m.,午前
Unit 4-1,p.m.,午後
Unit 4-1,time,時刻
Unit 4-1,o'clock,…時
Unit 4-1,before,…の前に[の]
Unit 4-1,after,…のあとに[で]
Unit 4-1,long,長い
Unit 4-1,short,(時間・長さ・距離が)短い
Unit 4-1,visit,(人・場所)を訪ねる
